WS,fuel,fcrew,ccrew,depr,total
1.0,37804.25573454556,519532.33658236294,360796.2532729771,1.2748777559408643e6,2.19301060153075e6
8.006006006006006,33961.59499168823,191620.74806719096,133760.48803459265,453621.3658153348,812964.1969088066
15.012012012012013,32647.160121952784,142676.79312891592,99772.97679693314,333210.7693970255,608307.6994448274
22.01801801801802,32841.1613457018,117980.42071919258,82481.86159910998,278444.36005906254,511747.8037230669
29.024024024024026,32366.065455876695,103664.09416897995,72519.42431834951,243790.45541674798,452340.0393599542
36.030030030030034,31958.589980410674,93769.70882589079,65633.58464608972,219776.65807812897,411138.54153052013
43.03603603603604,32150.484804289725,85805.37309888702,60042.63341995545,202631.4633644444,380629.9546875766
50.04204204204204,31346.419147432112,80590.41183791094,56455.7279492568,187930.18863238377,356322.7475669836
57.04804804804805,31488.39798804515,75491.69559615578,52873.111836096476,177067.84035001002,336921.0457703074
64.05405405405405,31290.42454866266,71574.88648294896,50143.57003561137,167644.45935025843,320653.3404174814
71.06006006006007,31233.789256242857,68133.66405217872,47736.23032685108,159787.55522571367,306891.2388609863
78.06606606606607,30783.055310107255,65533.45179504481,45942.64026216544,152631.62174819084,294890.7691155083
85.07207207207207,30502.536705232815,63143.18756692134,44283.90769742022,146514.42593768178,284444.0579072562
92.07807807807808,30772.04194369782,60548.69958457729,42448.40139793104,141549.51178136867,275318.6547075748
99.08408408408408,30689.219649280905,58528.8994594527,41037.15224636745,136830.2239589913,267085.4953140924
106.0900900900901,30194.656908228568,57070.36094023497,40041.41728141154,132288.98294623863,259595.41807611368
113.0960960960961,30220.574308088362,55330.389816685485,38819.13912848014,128530.29756689392,252900.40082014792
120.10210210210212,30343.551856743587,53665.38607329797,37644.84351751881,125157.77566614632,246811.55711370666
127.10810810810811,30068.62312569356,52458.28534929917,36811.88678740138,121815.51201656817,241154.30727896228
134.11411411411413,29856.363539889804,51310.33574141587,36016.7666053293,118777.3922712854,235960.85815792036
141.12012012012013,30013.277921547473,49955.86023093539,35058.245597644374,116186.45143844186,231213.8351885691
148.12612612612614,29881.173992543918,48923.12649563795,34339.714299683044,113606.18503145743,226750.19981932233
155.13213213213214,29786.479164283952,47936.49693190546,33651.57809005652,111221.32623470355,222595.88042094948
162.13813813813815,29723.5721181771,46992.75141019692,32991.94510390702,109007.47098437318,218715.73961665423
169.14414414414415,29652.126559335473,46115.390852774595,32379.016781885213,106932.67221185549,215079.20640585077
176.15015015015015,29640.879691437396,45247.85106166443,31770.434841550137,105003.98433255474,211663.1499272067
183.15615615615616,29616.449299543598,44439.93768798581,31204.105674700335,103185.68546663516,208446.1781288649
190.16216216216216,29349.436031815476,43859.98413206096,30808.22937450263,101349.9878233713,205367.63736175036
197.16816816816817,29366.257557375262,43105.11391019234,30277.212661790298,99741.69077914592,202490.27490850384
204.17417417417417,29398.53670715095,42378.3474243088,29765.341811549268,98223.53748644548,199765.7634294545
211.1801801801802,29200.592125147046,41856.621126558806,29406.961433992456,96679.7679034551,197143.94258915342
218.1861861861862,29261.127972632665,41174.83308360165,28925.50479124662,95317.34985552747,194678.81570300838
225.1921921921922,29071.426732609674,40705.963880979434,28603.52347157769,93922.99733382592,192303.91141899273
232.19819819819818,29155.069939583216,40064.42129119311,28149.448805221666,92691.9693172927,190060.90935329068
239.20420420420425,29024.760883254316,39604.02316806701,27831.03776810562,91433.7016891515,187893.52350857845
246.21021021021022,29126.867225067006,38999.63053595786,27402.43994676097,90314.12872869935,185843.06643648518
253.21621621621622,28993.666011360445,38584.02953461469,27115.35887887996,89159.43593585164,183852.49036070675
260.22222222222223,29111.787595263962,38013.15309710285,26709.816321438957,88137.05544636115,181971.81246016693
267.22822822822826,28999.937739255427,37620.456352087196,26437.93320513135,87076.3113124394,180134.63860891337
274.23423423423424,28900.619445897268,37236.86249112073,26171.918499173455,86061.24454694286,178370.6449831343
281.24024024024027,28812.61902436158,36862.020135956576,25911.58392972902,85088.28924445294,176674.5123345001
288.2462462462462,28734.877644005905,36495.60026663993,25656.74920541641,84154.28714191927,175041.5142579815
295.2522522522523,28881.586526767882,35989.921663631096,25296.14860523798,83317.20990056322,173484.86669620016
302.25825825825825,28793.363668978833,35657.770398808316,25065.634145067037,82445.22365451632,171961.9918673705
309.2642642642643,28737.44852139809,35317.300968059484,24828.210935121377,81608.57755289934,170491.5379774783
