918.7867868,-1988.277045,-0.726971572
925.7927928,-2058.310286,-0.765168944
932.7987988,-2053.037909,-0.775733007
939.8048048,-2046.958432,-0.785887374
946.8108108,-2040.275097,-0.795696267
953.8168168,-2101.686959,-0.832356188
960.8228228,-2095.851769,-0.842681461
967.8288288,-2089.783269,-0.852802688
974.8348348,-2083.129959,-0.862570028
981.8408408,-2137.232658,-0.897739061
988.8468468,-2131.616669,-0.908072652
995.8528529,-2125.052086,-0.9178891
1002.858859,-2172.85897,-0.951393676
1009.864865,-2167.290766,-0.961735893
1016.870871,-2161.049786,-0.971668036
1023.876877,-2154.493581,-0.981341367
1030.882883,-2197.969091,-1.013976827
1037.888889,-2192.196059,-1.024070048
1044.894895,-2185.588014,-1.033658394
1051.900901,-2224.908453,-1.0651144
1058.906907,-2219.107218,-1.075119908
1065.912913,-2212.652659,-1.084694958
1072.918919,-2248.386626,-1.115075869
1079.924925,-2242.492877,-1.124938566
1086.930931,-2236.330586,-1.134554147
1093.936937,-2268.841601,-1.163895283
1100.942943,-2263.236948,-1.173791724
1107.948949,-2256.855309,-1.183173728
1114.954955,-2287.062092,-1.211827223
1121.960961,-2281.271737,-1.221500009
1128.966967,-2274.964686,-1.230784816
1135.972973,-2303.000116,-1.258726103
1142.978979,-2297.157154,-1.268230056
1149.984985,-2322.409296,-1.294964285
1156.990991,-2317.008731,-1.304672184
1163.996997,-2311.09998,-1.313988246
1171.003003,-2334.821472,-1.340204335
1178.009009,-2329.35634,-1.349723092
1185.015015,-2350.861045,-1.374912647
1192.021021,-2345.808412,-1.384615663
1199.027027,-2340.051504,-1.393801524
1206.033033,-2360.671344,-1.418734821
1213.039039,-2355.272586,-1.428069895
1220.045045,-2374.131703,-1.452142066
1227.051051,-2369.072082,-1.461615033
1234.057057,-2363.497322,-1.470671405
1241.063063,-2381.61457,-1.494493805
1248.069069,-2376.325788,-1.503654088
1255.075075,-2393.043714,-1.526757273
1262.081081,-2388.008932,-1.536001579
1269.087087,-2382.420727,-1.544792985
1276.093093,-2398.666614,-1.56775581
1283.099099,-2393.334104,-1.576630474
1290.105105,-2408.400501,-1.59895218
1297.111111,-2403.305312,-1.607898957
1304.117117,-2417.310266,-1.629629302
1311.123123,-2412.428625,-1.63863343
1318.129129,-2425.507432,-1.659838415
1325.135135,-2420.78699,-1.668865239
1332.141141,-2433.049309,-1.689597912
1339.147147,-2428.449781,-1.698620033
1346.153153,-2423.284526,-1.707157918
1353.159159,-2435.473988,-1.727917742
1360.165165,-2430.471498,-1.736477138
1367.171171,-2441.918308,-1.756782049
1374.177177,-2437.060318,-1.765350975
1381.183183,-2447.889006,-1.78527399
1388.189189,-2443.095201,-1.793794901
1395.195195,-2453.370491,-1.813368838
1402.201201,-2448.61914,-1.821825359
1409.207207,-2458.397416,-1.841079099
1416.213213,-2453.696255,-1.849476625
1423.219219,-2462.999443,-1.868415013
1430.225225,-2458.385545,-1.876781754
1437.231231,-2467.203268,-1.895385868
1444.237237,-2462.666408,-1.903714603
1451.243243,-2471.037885,-1.922003826
1458.249249,-2466.562473,-1.930283078
1465.255255,-2474.598467,-1.948334473
1472.261261,-2470.098588,-1.956497048
1479.267267,-2477.832164,-1.974329138
1486.273273,-2473.305894,-1.982372479
1493.279279,-2480.752333,-1.999990618
1500.285285,-2476.257975,-2.007961032
1507.291291,-2483.376647,-2.025325788
1514.297297,-2489.790521,-2.042144335
1521.303303,-2485.748086,-2.050363244
1528.309309,-2491.941046,-2.067000579
1535.315315,-2487.897337,-2.075122887
1542.321321,-2493.83823,-2.091548196
1549.327327,-2489.782809,-2.099564898
1556.333333,-2495.557566,-2.115845634
1563.339339,-2491.418655,-2.123695501
1570.345345,-2497.057231,-2.139853616
1577.351351,-2492.860808,-2.14755749
1584.357357,-2498.327224,-2.163558938
1591.363363,-2503.247387,-2.179101866
1598.369369,-2499.395545,-2.186981337
1605.375375,-2504.206336,-2.202412979
1612.381381,-2500.308315,-2.210157643
1619.387387,-2504.961226,-2.225432696
1626.393393,-2501.010592,-2.233036035
1633.399399,-2505.596234,-2.248232615
1640.405405,-2509.699141,-2.263003462
1647.411411,-2506.031529,-2.270738691
1654.417417,-2510.083076,-2.285439317
1661.423423,-2506.273354,-2.292952835
1668.429429,-2510.287152,-2.307594553
1675.435435,-2513.865691,-2.321839163
