WS,fuel,fcrew,ccrew,depr,total
1.0,24926.027447913762,692894.607158168,489656.2442152211,1.3167860205153602e6,2.524262899336663e6
8.006006006006006,24926.02744791373,246485.84193785093,174187.1424148116,480392.1374547414,925991.1492553176
15.012012012012013,24926.02744791373,180671.79605475828,127677.53158684472,355524.642882181,688799.9979716977
22.01801801801802,24926.027447913762,149615.42390230877,105730.5480340527,296300.9471829289,576572.9465672041
29.024024024024026,24926.02744791373,130632.4352127656,92315.60895143413,259973.20800037874,507847.2796124922
36.030030030030034,24926.02744791373,117499.84060615742,83035.03888285378,234772.30656554637,460233.2135024713
43.03603603603604,24926.027447913762,107721.83120951556,76125.09427136705,215966.0908322114,424739.0437610078
50.04204204204204,24926.02744791373,100077.00997754943,70722.63563845289,201234.05505356722,396959.72811748326
57.04804804804805,24926.02744791373,93887.77986182595,66348.81725144226,189286.65459271282,374449.27915389475
64.05405405405405,24926.02744791373,88744.0419714396,62713.82954824144,179342.2693841087,355726.16835170344
71.06006006006007,24926.02744791373,84381.1334208485,59630.639994351266,170895.80755769758,339833.60842081107
78.06606606606607,24926.02744791373,80619.59436034056,56972.42751902061,163604.37591277415,326122.425240049
85.07207207207207,24926.02744791373,77332.86273057842,54649.75297523486,157225.89141130526,314134.5345650322
92.07807807807808,24926.02744791373,74428.77972385482,52597.48937948584,151583.90071417738,303536.19726543175
99.08408408408408,24926.02744791373,71838.43017801135,50766.93561745781,146546.33238352166,294077.7256269045
106.0900900900901,24926.027447913762,69509.11059618369,49120.847069168194,142012.09644285287,285568.08155611856
113.0960960960961,24926.02744791373,67399.73393482364,47630.1882547303,137902.32047624304,277858.2701137107
120.10210210210212,24926.02744791373,65477.732239515186,46271.94398240159,134154.43792673835,270830.14159656886
127.10810810810811,24926.02744791373,63716.91233539509,45027.60400329994,130718.0925032775,264388.63628988626
134.11411411411413,24926.02744791373,62095.93632366071,43882.08920542296,127552.23400281055,258456.28697980795
141.12012012012013,24926.027447913762,60597.22253176677,42822.97493478062,124623.01639058691,252969.24130504805
148.12612612612614,24926.02744791373,59206.13599641866,41839.91892418386,121902.2486674808,247874.33103599708
155.13213213213214,24926.027447913762,57910.382449883626,40924.233034193865,119366.23449875582,243126.87743074706
162.13813813813815,24926.02744791373,56699.547987771,40068.557944563545,116994.89029867164,238689.02367891994
169.14414414414415,24926.02744791373,55564.7447604068,39266.61277065974,114771.0660762243,234528.45105520458
176.15015015015015,24926.027447913762,54498.33498668887,38513.00002898354,112680.01614218074,230617.37860576692
183.15615615615616,24926.02744791373,53493.713618125665,37803.05204972798,110708.98209156873,226931.77520733612
190.16216216216216,24926.02744791373,52545.135470235975,37132.708813625584,108846.8609512157,223450.732682991
