WS,fuel,fcrew,ccrew,depr,total
1.0,NaN,NaN,7.060669008514445e7,NaN,NaN
8.006006006006006,NaN,NaN,277199.75217993796,NaN,NaN
15.012012012012013,NaN,NaN,143046.219671301,NaN,NaN
22.01801801801802,NaN,NaN,105208.95120606504,NaN,NaN
29.024024024024026,NaN,NaN,86585.22072295034,NaN,NaN
36.030030030030034,NaN,NaN,75164.99362021543,NaN,NaN
43.03603603603604,NaN,NaN,67293.75809439564,NaN,NaN
50.04204204204204,NaN,NaN,61462.35533437891,NaN,NaN
57.04804804804805,NaN,NaN,56925.53685422494,NaN,NaN
64.05405405405405,NaN,NaN,53269.11346496976,NaN,NaN
71.06006006006007,NaN,NaN,50242.68689336724,NaN,NaN
78.06606606606607,NaN,NaN,47685.03681915517,NaN,NaN
85.07207207207207,NaN,NaN,45487.15299908522,NaN,NaN
92.07807807807808,NaN,NaN,43572.38501141992,NaN,NaN
99.08408408408408,NaN,NaN,41885.082592054896,NaN,NaN
106.0900900900901,NaN,NaN,40383.74974506509,NaN,NaN
113.0960960960961,NaN,NaN,39036.7383294164,NaN,NaN
120.10210210210212,NaN,NaN,37819.4394264643,NaN,NaN
127.10810810810811,NaN,NaN,36712.3941143854,NaN,NaN
134.11411411411413,NaN,NaN,35699.98830174208,NaN,NaN
141.12012012012013,NaN,NaN,34769.529790666595,NaN,NaN
148.12612612612614,NaN,NaN,33910.58208923125,NaN,NaN
155.13213213213214,NaN,NaN,33114.47470237106,NaN,NaN
162.13813813813815,NaN,NaN,32373.937237730443,NaN,NaN
169.14414414414415,NaN,NaN,31682.821987468156,NaN,NaN
176.15015015015015,NaN,NaN,31035.890787730066,NaN,NaN
183.15615615615616,NaN,NaN,30428.64928057755,NaN,NaN
190.16216216216216,NaN,NaN,29857.216613366156,NaN,NaN
197.16816816816817,NaN,NaN,29318.221962880627,NaN,NaN
204.17417417417417,NaN,NaN,28808.721598254928,NaN,NaN
211.1801801801802,NaN,NaN,28326.13183618218,NaN,NaN
218.1861861861862,NaN,NaN,27868.174413305314,NaN,NaN
225.1921921921922,NaN,NaN,27432.83164843043,NaN,NaN
232.19819819819818,NaN,NaN,27018.309388065565,NaN,NaN
239.20420420420425,NaN,NaN,26623.00618853088,NaN,NaN
246.21021021021022,NaN,NaN,26245.48753183754,NaN,NaN
253.21621621621622,NaN,NaN,25884.464132336867,NaN,NaN
260.22222222222223,NaN,NaN,25538.773589154378,NaN,NaN
267.22822822822826,NaN,NaN,25207.364791617507,NaN,NaN
274.23423423423424,NaN,NaN,24889.284602791744,NaN,NaN
281.24024024024027,NaN,NaN,24583.66643826568,NaN,NaN
288.2462462462462,NaN,NaN,24289.720429658104,NaN,NaN
